# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
0,0,0,0.013
0.011,0,0.019,0.013
0.017,0,0.121,0.013
0.023,0.001,0.274,0.013
0.028,0.003,0.464,0.013
0.033,0.006,0.682,0.013
0.038,0.01,0.913,0.013
0.043,0.016,1.161,0.013
0.048,0.022,1.421,0.014
0.053,0.03,1.685,0.014
0.058,0.038,1.957,0.014
0.063,0.049,2.233,0.015
0.068,0.06,2.508,0.015
0.073,0.073,2.792,0.016
0.078,0.087,3.072,0.016
0.082,0.103,3.354,0.017
0.087,0.12,3.644,0.017
0.092,0.138,3.929,0.018
0.097,0.157,4.215,0.019
0.102,0.178,4.502,0.019
0.107,0.201,4.796,0.02
0.111,0.225,5.084,0.021
0.116,0.25,5.373,0.021
0.121,0.276,5.663,0.022
0.126,0.304,5.953,0.023
0.131,0.334,6.243,0.023
0.136,0.365,6.54,0.024
0.14,0.397,6.832,0.025
0.145,0.431,7.123,0.025
0.15,0.465,7.415,0.026
0.155,0.502,7.708,0.027
0.16,0.539,8.001,0.028
0.164,0.579,8.294,0.028
0.169,0.619,8.588,0.029
0.174,0.661,8.882,0.03
0.179,0.704,9.176,0.031
0.184,0.749,9.471,0.031
0.188,0.795,9.766,0.032
0.193,0.843,10.061,0.033
0.198,0.892,10.357,0.034
0.203,0.942,10.653,0.035
0.208,0.994,10.95,0.035
0.212,1.047,11.247,0.036
0.217,1.102,11.544,0.037
0.222,1.158,11.842,0.038
0.227,1.216,12.14,0.039
0.232,1.275,12.438,0.04
0.236,1.335,12.737,0.04
0.241,1.397,13.036,0.041
0.246,1.46,13.335,0.042
0.251,1.525,13.635,0.043
0.256,1.591,13.935,0.044
0.26,1.659,14.236,0.044
0.265,1.728,14.536,0.045
0.27,1.798,14.838,0.046
0.275,1.869,15.133,0.047
0.279,1.942,15.435,0.048
0.284,2.017,15.737,0.049
0.289,2.093,16.039,0.049
0.294,2.171,16.342,0.05
0.299,2.25,16.646,0.051
0.303,2.331,16.949,0.052
0.308,2.411,17.247,0.053
0.313,2.495,17.551,0.054
0.318,2.58,17.856,0.055
0.323,2.666,18.161,0.056
0.327,2.754,18.466,0.056
0.332,2.843,18.772,0.057
0.337,2.932,19.072,0.058
0.342,3.025,19.378,0.059
0.346,3.118,19.685,0.06
0.351,3.213,19.992,0.061
0.356,3.31,20.299,0.062
0.361,3.406,20.601,0.063
0.366,3.506,20.909,0.063
0.37,3.607,21.217,0.064
0.375,3.71,21.526,0.065
0.38,3.811,21.829,0.066
0.385,3.917,22.138,0.067
0.389,4.024,22.448,0.068
0.394,4.133,22.758,0.069
0.399,4.24,23.062,0.069
0.404,4.352,23.373,0.07
0.409,4.465,23.684,0.071
0.413,4.577,23.989,0.072
0.418,4.693,24.301,0.073
0.423,4.81,24.613,0.074
0.428,4.926,24.919,0.075
0.432,5.047,25.232,0.076
0.437,5.169,25.545,0.076
0.442,5.289,25.852,0.077
0.447,5.414,26.166,0.078
0.451,5.541,26.479,0.079
0.456,5.666,26.787,0.08
0.461,5.795,27.102,0.081
0.466,5.926,27.417,0.082
0.47,6.055,27.725,0.083
0.475,6.189,28.041,0.084
0.48,6.325,28.356,0.084
0.485,6.459,28.666,0.085
0.49,6.597,28.983,0.086
0.494,6.734,29.293,0.087
0.499,6.875,29.61,0.088
0.504,7.015,29.921,0.089
0.509,7.16,30.239,0.09
0.513,7.305,30.557,0.091
0.518,7.45,30.869,0.092
0.523,7.599,31.187,0.093
0.528,7.746,31.5,0.093
0.532,7.898,31.819,0.094
0.537,8.048,32.132,0.095
0.542,8.203,32.452,0.096
0.547,8.357,32.766,0.097
