time,alt,vel
7.832,1489.730265,203.965
7.882,1499.908564,203.189
7.932,1510.048156,202.417
7.982,1520.149345,201.646
8.032,1530.211826,200.877
8.082,1540.236208,200.113
8.132,1550.222188,199.351
8.182,1560.170375,198.59
8.232,1570.080463,197.832
8.282,1579.952454,197.077
8.332,1589.78726,196.325
8.382,1599.584273,195.576
8.432,1609.343798,194.828
8.482,1619.066138,194.083
8.532,1628.750991,193.34
8.582,1638.398964,192.599
8.632,1648.010058,191.861
8.682,1657.584273,191.124
8.732,1667.121609,190.39
8.782,1676.622371,189.656
8.832,1686.086559,188.926
8.882,1695.514173,188.199
8.932,1704.905517,187.475
8.982,1714.260591,186.755
9.032,1723.580006,186.037
9.082,1732.863456,185.32
9.132,1742.111247,184.604
9.182,1751.323072,183.89
9.232,1760.499238,183.176
9.282,1769.639744,182.463
9.332,1778.74459,181.75
9.382,1787.813776,181.038
9.432,1796.847607,180.331
9.482,1805.846084,179.628
9.532,1814.809509,178.928
9.582,1823.73819,178.233
9.632,1832.632124,177.541
9.682,1841.491618,176.852
9.732,1850.316367,176.165
9.782,1859.10698,175.479
9.832,1867.863456,174.793
9.882,1876.585492,174.106
9.932,1885.273392,173.421
9.982,1893.926852,172.736
10.032,1902.546175,172.05
10.082,1911.131058,171.365
10.132,1919.681804,170.68
10.182,1928.19811,169.998
10.232,1936.680585,169.319
10.282,1945.129534,168.645
10.332,1953.544346,167.975
10.382,1961.926242,167.309
10.432,1970.274611,166.646
10.482,1978.590064,165.985
10.532,1986.872295,165.326
10.582,1995.121609,164.667
10.632,2003.338311,164.007
10.682,2011.521792,163.347
10.732,2019.672051,162.687
10.782,2027.789698,162.028
10.832,2035.874124,161.369
10.882,2043.925632,160.711
10.932,2051.944529,160.055
10.982,2059.930509,159.401
11.032,2067.883877,158.75
11.082,2075.804633,158.103
11.132,2083.693386,157.459
11.182,2091.549832,156.818
11.232,2099.374581,156.181
11.282,2107.167327,155.546
11.332,2114.928375,154.911
11.382,2122.657726,154.277
11.432,2130.355379,153.642
11.482,2138.02103,153.006
11.532,2145.654983,152.369
11.582,2153.257239,151.73
11.632,2160.827492,151.091
11.682,2168.365437,150.452
11.732,2175.87199,149.815
11.782,2183.346541,149.181
11.832,2190.789393,148.55
11.882,2198.200853,147.923
11.932,2205.58092,147.299
11.982,2212.929899,146.679
12.032,2220.248095,146.063
12.082,2227.535507,145.449
12.132,2234.792441,144.837
12.182,2242.018592,144.226
