# Time (s),Altitude (m),Vertical velocity (m/s),Mach number (​)
0,0,0,0.012
0.011,0,0.019,0.012
0.017,0,0.121,0.012
0.023,0.001,0.273,0.012
0.028,0.003,0.464,0.013
0.033,0.006,0.681,0.013
0.038,0.01,0.912,0.013
0.043,0.016,1.16,0.013
0.048,0.022,1.42,0.014
0.053,0.03,1.684,0.014
0.058,0.038,1.956,0.014
0.063,0.049,2.232,0.015
0.068,0.06,2.507,0.015
0.073,0.073,2.791,0.016
0.078,0.087,3.071,0.016
0.082,0.103,3.353,0.017
0.087,0.12,3.643,0.017
0.092,0.138,3.928,0.018
0.097,0.157,4.214,0.018
0.102,0.178,4.501,0.019
0.107,0.201,4.794,0.02
0.111,0.225,5.083,0.02
0.116,0.25,5.372,0.021
0.121,0.276,5.661,0.022
0.126,0.304,5.951,0.023
0.131,0.334,6.241,0.023
0.136,0.365,6.538,0.024
0.14,0.397,6.829,0.025
0.145,0.43,7.121,0.026
0.15,0.465,7.413,0.026
0.155,0.502,7.705,0.027
0.16,0.539,7.998,0.028
0.164,0.578,8.291,0.029
0.169,0.619,8.585,0.029
0.174,0.661,8.879,0.03
0.179,0.704,9.173,0.031
0.184,0.749,9.468,0.032
0.188,0.795,9.763,0.032
0.193,0.843,10.058,0.033
0.198,0.892,10.354,0.034
0.203,0.942,10.65,0.035
0.208,0.994,10.946,0.036
0.212,1.047,11.243,0.036
0.217,1.102,11.54,0.037
0.222,1.158,11.838,0.038
0.227,1.215,12.136,0.039
0.232,1.274,12.434,0.04
0.236,1.335,12.733,0.041
0.241,1.397,13.032,0.041
0.246,1.46,13.331,0.042
0.251,1.525,13.631,0.043
0.256,1.591,13.931,0.044
0.26,1.658,14.231,0.045
0.265,1.727,14.532,0.046
0.27,1.798,14.833,0.046
0.275,1.868,15.128,0.047
0.279,1.941,15.43,0.048
0.284,2.016,15.732,0.049
0.289,2.093,16.034,0.05
0.294,2.17,16.337,0.051
0.299,2.249,16.64,0.052
0.303,2.33,16.944,0.052
0.308,2.41,17.241,0.053
0.313,2.494,17.546,0.054
0.318,2.579,17.85,0.055
0.323,2.665,18.155,0.056
0.327,2.753,18.46,0.057
0.332,2.842,18.766,0.057
0.337,2.931,19.066,0.058
0.342,3.024,19.372,0.059
0.346,3.117,19.679,0.06
0.351,3.212,19.986,0.061
0.356,3.309,20.293,0.062
0.361,3.405,20.594,0.062
0.366,3.505,20.902,0.063
0.37,3.606,21.211,0.064
0.375,3.708,21.519,0.065
0.38,3.81,21.822,0.066
0.385,3.916,22.131,0.067
0.389,4.023,22.441,0.068
0.394,4.131,22.751,0.068
0.399,4.239,23.055,0.069
0.404,4.35,23.366,0.07
0.409,4.463,23.677,0.071
0.413,4.575,23.982,0.072
0.418,4.691,24.293,0.073
0.423,4.808,24.605,0.074
0.428,4.925,24.911,0.075
0.432,5.045,25.224,0.076
0.437,5.167,25.537,0.076
0.442,5.288,25.844,0.077
0.447,5.412,26.157,0.078
0.451,5.539,26.471,0.079
0.456,5.664,26.779,0.08
0.461,5.793,27.093,0.081
0.466,5.924,27.408,0.082
0.47,6.053,27.716,0.083
0.475,6.187,28.032,0.084
0.48,6.323,28.347,0.084
0.485,6.457,28.657,0.085
0.49,6.595,28.973,0.086
0.494,6.732,29.283,0.087
0.499,6.873,29.6,0.088
0.504,7.013,29.911,0.089
0.509,7.157,30.229,0.09
0.513,7.303,30.547,0.091
0.518,7.447,30.858,0.092
0.523,7.596,31.177,0.093
0.528,7.744,31.489,0.094
0.532,7.895,31.809,0.094
0.537,8.046,32.122,0.095
0.542,8.201,32.441,0.096
0.547,8.354,32.755,0.097
0.551,8.512,33.076,0.098
0.556,8.671,33.397,0.099
